variant,ncores,matrixname,nchromosomes,usertime,systemtime,elapsedtime,loadtime,computetime,maxresident,avgresident,majorpagefaults,minorpagefaults,volcontextswitches,involcontextswitches,fsin,fsout,memiter,memloading,memafter
ICE,1,25kb_raw.h5,25,2092.34,358.54,7812.18,,,89799492,0,243,102605454,130080,7538,2377432,12403080,110,,
KR,1,25kb_raw.h5,25,2064.79,2176.76,4259,,,112704528,0,0,765103846,133,65073,0,12299760,86,,
ICE,1,50kb_raw.h5,25,1131.84,223.88,3656.96,,,69222404,0,0,75229003,77763,166811,0,8387344,,,
KR,1,50kb_raw.h5,25,1212.76,1301.80,2511.13,,,77617848,0,0,508043721,232,71431,0,8332152,,,
R_01,1,25kb_raw.h5,25,2773.46,830.01,3614,470.50711131095886,2259.2472627162933,118629644,0,0,207995043,2228,195438,0,12422752,57,17,34
R_12,12,25kb_raw.h5,25,13910.76,4844.24,3904,468.65872597694397,2550.4637575149536,118630064,0,0,207995757,23278976,285693,0,12422864,57,17,34
R_16,16,25kb_raw.h5,25,20966.76,5820.12,4448,672.398238658905,2911.0902111530304,118630080,0,0,207995847,20677044,1896027,0,12422760,57,17,34
R_02,2,25kb_raw.h5,25,3922.33,1384.57,4248,452.2092752456665,2892.6109693050385,118629308,0,0,207995147,15469992,93713,0,12422984,57,17,34
R_04,4,25kb_raw.h5,25,5117.61,2176.73,4270,473.79153871536255,2858.384239912033,118629456,0,0,207995437,27261275,244344,0,12422944,57,17,34
R_06,6,25kb_raw.h5,25,6569.72,3002.36,4165,459.5251543521881,2795.907219171524,118630288,0,0,207995359,39230240,320294,0,12422760,57,17,34
R_08,8,25kb_raw.h5,25,8798.02,3689.13,3917,442.9468379020691,2616.369306087494,118629732,0,0,207995872,37077528,243837,0,12422776,57,17,34
R_01,1,50kb_raw.h5,25,1376.70,467.44,1848.84,347.09933519363403,1080.032832622528,81691668,0,0,143139276,139,90833,0,8387944,39,12,23
R_12,12,50kb_raw.h5,25,6195.67,2183.78,2136.79,289.1989402770996,1380.3889305591583,81692732,0,0,143140033,9322596,175767,0,8388528,39,12,23
R_16,16,50kb_raw.h5,25,8442.56,2348.30,2143.28,303.85780096054077,1360.707127571106,81692104,0,0,143140081,6796374,168872,0,8388984,39,12,23
R_02,2,50kb_raw.h5,25,1765.58,761.64,2126.95,362.07059502601624,1287.4835312366486,81691856,0,0,143139702,7567923,737537,0,8388008,39,12,23
R_04,4,50kb_raw.h5,25,2265.24,990.99,2071.84,310.05845952033997,1310.800610780716,81691960,0,17,143139045,13551644,218767,7304,8388664,39,12,23
R_06,6,50kb_raw.h5,25,2967.32,1363.37,2123.72,305.6399962902069,1352.2509825229645,81692264,0,0,143140276,15375504,266151,0,8388152,39,12,23
R_08,8,50kb_raw.h5,25,3862.40,1625.08,2014.92,269.65161657333374,1302.6809077262878,81692060,0,0,143139732,12174223,211442,0,8388912,39,12,23
